"prov_cdc","pop","HDI","life_exp","perc_secondary","education_years","household_per_capita_income"
"DANIEL ALCIDES CARRION",50930.556745182,0.369968545187911,72.3213502086094,81.5066506200569,7.93147342474505,301.79069310715
"OXAPAMPA",96952.5481798715,0.42782213065429,70.323480302175,47.6444952186848,7.14895246724591,638.167731702544
"PIURA",855792.321199143,0.56893675120806,78.9655047100652,66.6288392678612,8.97362065841594,904.936876743046
"AYABACA",129528.550321199,0.249814133319148,68.1012638683263,39.1445074960964,4.41626196938814,234.203665463361
"HUANCABAMBA",117386.99143469,0.264839997694202,65.8684894352412,50.5139070766856,4.54787582414604,250.015839739067
"MORROPON",148904.980728051,0.431884363464973,74.4951784258211,58.8817776444245,6.04305812009888,608.881132725998
"PAITA",138371.683083512,0.547656328525822,80.1951638043102,62.5057899587151,7.84856013945713,888.000971400256
"SULLANA",328441.413276231,0.542190015191485,79.831776372044,68.1778494696093,8.39197281721102,799.196815821976
"TALARA",133505.516059957,0.584521141963706,77.2337470449314,66.678921589646,9.57821063765843,970.680768564998
"SECHURA",83526.5417558886,0.467311704001466,72.528964920427,58.0943387632927,7.24272714493848,707.974760621743
"PUNO",240640.357601713,0.542559077308547,70.3790893893507,77.9338175858188,9.48313628139396,836.614247174589
"AZANGARO",115953.295503212,0.319102053124564,67.4916723513478,67.2153702973863,6.34756734598317,278.766179160656
"CARABAYA",92802.7794432548,0.340435297006813,66.0545748822214,65.5816240605843,5.92147600883278,360.7894840158
"CHUCUITO",130859.912205567,0.345184028727735,73.8397405932702,71.5233358497726,7.19735037435326,273.878404952751
"EL COLLAO",71415.2997858672,0.379336136556248,78.3756743245553,73.232582272884,6.8501574319071,331.371875886155
"HUANCANE",53008.5524625268,0.317619644629901,71.3802543246835,68.0873728857878,6.10312517031751,259.944826162007
"LAMPA",46414.4518201285,0.430827933289682,75.8339313451517,69.6859406529197,7.14681679676042,489.202974161823
"MELGAR",69084.5631691649,0.429420492644373,72.5516883157497,70.4254672838051,7.30861655899434,506.203559311814
"MOHO",18412.5824411135,0.280311931726885,73.8861062885189,66.3071558529217,5.42495952980476,196.964513278744
"SAN ANTONIO DE PUTINA",59768.9807280514,0.499884882646757,63.8257916823187,70.9630805919349,7.1848972198429,952.269802242344
"SAN ROMAN",312957.5901921,0.558649239045766,73.6133348636953,78.5027175158103,9.82288611153143,831.465387473632
"SANDIA",59820.5464400428,0.407680405527594,73.0529604491312,67.7945714289142,6.62646909986069,469.449685754295
"YUNGUYO",39469.9550321199,0.370515383968917,75.4686741270894,70.4767303460801,5.99846542213719,361.543483204792
"MOYOBAMBA",143704.944325482,0.488253337000652,73.218420480436,55.6146699872817,6.90423760381112,833.499968426007
"BELLAVISTA",58452.591006424,0.419522735202935,71.0350570302997,41.7310494257045,5.81777054750123,725.347802505574
"EL DORADO",40647.1970021413,0.330864304649706,74.4711367748277,33.2641292141212,4.79956265413095,443.501029255934
"HUALLAGA",25484.1498929336,0.408309915985017,76.1572164337902,42.8327365755617,6.07508912360292,583.043112549275
"LAMAS",82744.0085653105,0.364284623155073,71.1394501452356,44.3850842329749,5.29547615178632,503.803401791543
"MARISCAL CACERES",50745.869379015,0.446768919911036,71.5384269120748,46.4853309546154,6.67225382869544,744.621213999682
"PICOTA",45619.0985010707,0.43875531362626,75.2864985263584,42.8008774214146,6.07944032047868,726.68489834544
"RIOJA",134216.30620985,0.468398046922593,73.5971272588436,51.818519744385,6.27262783446166,809.146389977694
"SAN MARTIN",195847.608137045,0.607513016930018,72.5342766423803,70.5556801299312,9.30329937037525,1177.56283069286
"TOCACHE",62310.2419700214,0.505567200470222,69.6255931326655,57.4621378682054,7.18139631405493,952.754744001745
"TACNA",326372.526766595,0.6078728410369,76.6924914973493,73.5615211418255,10.3555442079076,1000.32583878523
"CANDARAVE",6551.55246252677,0.367674453157097,70.4622169633684,63.0215562716143,6.94233301061103,373.475657756495
"JORGE BASADRE",8995.78158458244,0.680273531494902,74.169926130968,69.2569226135371,10.3224242833094,1503.75832104862
"TARATA",6652.96145610278,0.430831228039735,77.6844239702866,74.0089118325403,7.70361788027173,439.71612255403
"TUMBES",163070.462526767,0.590134727638241,77.0915194273731,70.9506230409771,9.36585997185352,984.055436872424
"CONTRALMIRANTE VILLAR",19831.5607490186,0.544228946249763,73.0380877853086,62.7054458957735,8.17318111896323,970.493524288476
"ZARUMILLA",54683.6552462527,0.509087359993274,72.1033006378523,62.9438683604687,8.20986463921996,812.207180516498
"CORONEL PORTILLO",368063.01245762,0.523483840595505,73.4022655071883,55.5098599878599,8.92586616988869,865.524789461435
"ATALAYA",51577.9464668094,0.326395408705732,60.8834151284497,28.232614549027,6.15023622392637,522.325043574828
"PADRE ABAD",56940.3015893393,0.438605303975358,78.0722532449041,44.6010457172322,6.5723317651163,642.335437989836
"PURUS",3681.09207708779,0.348426822358967,67.2736219863883,20.5436482331795,7.47042139432982,551.691330811128
"CALLAO",1044457.09207709,0.640163109859599,78.0875927941174,73.1438947822696,9.95816444902044,1162.47254646925
